Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,984,"100,0",24,24,0,0,"100,00",871,113,3,97,0,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning ABILDSØ,984,"100,0",24,24,0,0,"100,00",871,113,3,97,0,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,984,"100,0",24,24,0,0,"100,00",871,113,3,97,0,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,1680,"100,0",24,24,0,0,"100,00",1462,218,23,173,6,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning ABILDSØ,1680,"100,0",24,24,0,0,"100,00",1462,218,23,173,6,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,1680,"100,0",24,24,0,0,"100,00",1462,218,23,173,6,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,1,1839,"100,0",24,24,0,0,"100,00",1620,219,23,178,2,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning ABILDSØ,1839,"100,0",24,24,0,0,"100,00",1620,219,23,178,2,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt,1839,"100,0",24,24,0,0,"100,00",1620,219,23,178,2,16,16,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,1,1877,"100,0",24,24,0,0,"100,00",1661,216,26,166,11,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt i retning ABILDSØ,1877,"100,0",24,24,0,0,"100,00",1661,216,26,166,11,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt,1877,"100,0",24,24,0,0,"100,00",1661,216,26,166,11,13,13,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,1,1638,"100,0",24,24,0,1,"99,94",1493,144,10,118,1,15,15,0
69037V625235,Skullerud Avrampe Nordgående,EV6 S15D1 m5382 KD1 m210,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,Totalt i retning ABILDSØ,1638,"100,0",24,24,0,1,"99,94",1493,144,10,118,1,15,15,0
