Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,1,3473,"37,5",24,10,1,0,"100,00",3284,189,104,33,16,36,36,0
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,2,5807,"37,5",24,10,1,1,"99,98",5554,252,137,40,15,60,58,2
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,3,6023,"37,5",24,10,1,0,"100,00",4748,1275,244,251,111,669,640,29
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,4,5656,"37,5",24,10,1,0,"100,00",4460,1196,260,290,40,606,572,34
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,5,7,"37,5",24,10,1,1,"85,71",6,0,0,0,0,0,0,0
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,Totalt i retning Mortensrud,9503,"37,5",24,10,1,1,"99,99",8038,1464,348,284,127,705,676,29
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,Totalt i retning Ĺsland,11463,"37,5",24,10,1,1,"99,99",10014,1448,397,330,55,666,630,36
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-25T00:00+01:00,2019-11-26T00:00+01:00,2019-11-25,Totalt,20966,"37,5",24,10,1,2,"99,99",18052,2912,745,614,182,1371,1306,65
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-26T00:00+01:00,2019-11-27T00:00+01:00,2019-11-26,1,10817,"100,0",24,24,0,85,"99,21",9990,742,386,178,44,134,127,7
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-26T00:00+01:00,2019-11-27T00:00+01:00,2019-11-26,2,12998,"100,0",24,24,0,0,"100,00",12049,949,472,228,42,207,201,6
26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6 S15D1 m2565,2019-11-26T00:00+01:00,2019-11-27T00:00+01:00,2019-11-26,3,13968,"100,0",24,24,0,220,"98,42",9935,3813,661,1013,372,1767,1674,93
