Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,2,3409,"33,3",24,9,1,0,"100,00",3294,115,77,24,5,9,9,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,4,7661,"33,3",24,9,1,3,"99,96",6802,856,253,264,115,224,214,10
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,6,4466,"33,3",24,9,1,2,"99,96",3626,838,192,264,86,296,284,12
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,8,61,"33,3",24,9,1,0,"100,00",21,40,0,0,3,37,37,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,Totalt i retning Alnabru,15596,"33,3",24,9,1,4,"99,97",13743,1849,522,552,209,566,544,22
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,Totalt i retning Karihaugen,1,"33,3",24,9,1,1,"0,00",0,0,0,0,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-01T00:00+02:00,2020-07-02T00:00+02:00,2020-07-01,Totalt,15597,"33,3",24,9,1,5,"99,97",13743,1849,522,552,209,566,544,22
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,2,10772,"100,0",24,24,0,1,"99,99",10317,454,330,72,20,32,31,1
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,4,20165,"100,0",24,24,0,4,"99,98",16969,3192,895,968,426,903,878,25
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,6,13029,"100,0",24,24,0,7,"99,95",9868,3154,774,990,285,1105,1064,41
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,8,181,"100,0",24,24,0,1,"99,45",64,116,2,0,18,96,96,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,Totalt i retning Alnabru,44143,"100,0",24,24,0,12,"99,97",37218,6913,1998,2030,749,2136,2069,67
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,Totalt i retning Karihaugen,4,"100,0",24,24,0,1,"75,00",0,3,3,0,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-02T00:00+02:00,2020-07-03T00:00+02:00,2020-07-02,Totalt,44147,"100,0",24,24,0,13,"99,97",37218,6916,2001,2030,749,2136,2069,67
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,2,10066,"100,0",24,24,0,2,"99,98",9649,415,294,67,9,45,43,2
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,4,19468,"100,0",24,24,0,3,"99,98",16634,2831,896,949,305,681,664,17
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,6,12212,"100,0",24,24,0,3,"99,98",9361,2848,740,914,284,910,869,41
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,8,198,"100,0",24,24,0,3,"98,48",67,128,2,2,22,102,102,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,Totalt i retning Alnabru,41941,"100,0",24,24,0,11,"99,97",35709,6221,1931,1932,620,1738,1678,60
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,Totalt i retning Karihaugen,3,"100,0",24,24,0,0,"100,00",2,1,1,0,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-03T00:00+02:00,2020-07-04T00:00+02:00,2020-07-03,Totalt,41944,"100,0",24,24,0,11,"99,97",35711,6222,1932,1932,620,1738,1678,60
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,2,6150,"100,0",24,24,0,0,"100,00",6028,122,85,31,4,2,2,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,4,16053,"100,0",24,24,0,5,"99,97",14822,1226,481,518,117,110,109,1
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,6,8804,"100,0",24,24,0,0,"100,00",7701,1103,396,362,73,272,264,8
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,8,122,"100,0",24,24,0,4,"96,72",38,80,1,0,5,74,74,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,Totalt i retning Alnabru,31127,"100,0",24,24,0,8,"99,97",28589,2530,962,911,199,458,449,9
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,Totalt i retning Karihaugen,2,"100,0",24,24,0,1,"50,00",0,1,1,0,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-04T00:00+02:00,2020-07-05T00:00+02:00,2020-07-04,Totalt,31129,"100,0",24,24,0,9,"99,97",28589,2531,963,911,199,458,449,9
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,2,5874,"100,0",24,24,0,1,"99,98",5741,132,76,38,7,11,11,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,4,15414,"100,0",24,24,0,3,"99,98",14099,1312,442,557,139,174,170,4
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,6,7881,"100,0",24,24,0,3,"99,96",6949,929,276,307,83,263,251,12
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,8,107,"100,0",24,24,0,1,"99,07",27,79,1,0,2,76,76,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,Totalt i retning Alnabru,29272,"100,0",24,24,0,6,"99,98",26816,2450,794,901,231,524,508,16
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,Totalt i retning Karihaugen,4,"100,0",24,24,0,2,"50,00",0,2,1,1,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-05T00:00+02:00,2020-07-06T00:00+02:00,2020-07-05,Totalt,29276,"100,0",24,24,0,8,"99,97",26816,2452,795,902,231,524,508,16
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,2,9442,"100,0",24,24,0,1,"99,99",9046,395,289,62,17,27,27,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,4,18876,"100,0",24,24,0,3,"99,98",15781,3092,894,972,373,853,823,30
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,6,11993,"100,0",24,24,0,2,"99,98",8967,3024,809,993,295,927,889,38
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,8,160,"100,0",24,24,0,0,"100,00",48,112,2,2,15,93,93,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,Totalt i retning Alnabru,40470,"100,0",24,24,0,6,"99,99",33842,6622,1993,2029,700,1900,1832,68
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,Totalt i retning Karihaugen,1,"100,0",24,24,0,0,"100,00",0,1,1,0,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-06T00:00+02:00,2020-07-07T00:00+02:00,2020-07-06,Totalt,40471,"100,0",24,24,0,6,"99,99",33842,6623,1994,2029,700,1900,1832,68
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,2,8733,"100,0",24,24,0,1,"99,99",8349,383,246,60,28,49,49,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,4,18281,"100,0",24,24,0,1,"99,99",15277,3003,858,898,396,851,832,19
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,6,11597,"100,0",24,24,0,3,"99,97",8546,3048,753,930,306,1059,1023,36
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,8,160,"100,0",24,24,0,0,"100,00",62,98,2,2,17,77,77,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,Totalt i retning Alnabru,38768,"100,0",24,24,0,5,"99,99",32234,6529,1858,1888,747,2036,1981,55
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,Totalt i retning Karihaugen,3,"100,0",24,24,0,0,"100,00",0,3,1,2,0,0,0,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-07T00:00+02:00,2020-07-08T00:00+02:00,2020-07-07,Totalt,38771,"100,0",24,24,0,5,"99,99",32234,6532,1859,1890,747,2036,1981,55
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-08T00:00+02:00,2020-07-09T00:00+02:00,2020-07-08,2,9118,"100,0",24,24,0,0,"100,00",8732,386,256,67,31,32,31,1
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-08T00:00+02:00,2020-07-09T00:00+02:00,2020-07-08,4,19066,"100,0",24,24,0,2,"99,99",15925,3139,920,952,405,862,842,20
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-08T00:00+02:00,2020-07-09T00:00+02:00,2020-07-08,6,11777,"100,0",24,24,0,1,"99,99",8851,2925,762,890,294,979,945,34
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-08T00:00+02:00,2020-07-09T00:00+02:00,2020-07-08,8,162,"100,0",24,24,0,0,"100,00",47,115,2,0,19,94,94,0
23369V625215,E6 Lindeberg sørgående,EV6 S17D1 m1780,2020-07-08T00:00+02:00,2020-07-09T00:00+02:00,2020-07-08,Totalt i retning Alnabru,40119,"100,0",24,24,0,2,"100,00",33555,6562,1940,1906,749,1967,1912,55
