Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,1,2791,"58,3",24,15,1,0,"100,00",2627,164,95,44,14,11,11,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,2,2245,"58,3",24,15,1,1,"99,96",2120,124,64,26,23,11,11,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,3,8814,"58,3",24,15,1,0,"100,00",7736,1078,365,356,173,184,184,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,4,7710,"58,3",24,15,1,0,"100,00",6713,997,325,291,192,189,188,1
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,Totalt i retning Grorud,11605,"58,3",24,15,1,0,"100,00",10363,1242,460,400,187,195,195,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,Totalt i retning Sinsen,9955,"58,3",24,15,1,1,"99,99",8833,1121,389,317,215,200,199,1
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-02T00:00+02:00,2019-04-03T00:00+02:00,2019-04-02,Totalt,21560,"58,3",24,15,1,1,"100,00",19196,2363,849,717,402,395,394,1
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-03T00:00+02:00,2019-04-04T00:00+02:00,2019-04-03,1,3499,"100,0",24,24,0,0,"100,00",3311,188,111,41,24,12,12,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-03T00:00+02:00,2019-04-04T00:00+02:00,2019-04-03,2,4001,"100,0",24,24,0,0,"100,00",3814,187,106,32,36,13,13,0
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-03T00:00+02:00,2019-04-04T00:00+02:00,2019-04-03,3,11082,"100,0",24,24,0,0,"100,00",9600,1482,426,504,283,269,267,2
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-03T00:00+02:00,2019-04-04T00:00+02:00,2019-04-03,4,10889,"100,0",24,24,0,1,"99,99",9406,1482,451,443,296,292,290,2
47140V625367,RV 4 Rødtvet,RV4 S1D1 m4704,2019-04-03T00:00+02:00,2019-04-04T00:00+02:00,2019-04-03,Totalt i retning Grorud,14580,"100,0",24,24,0,0,"100,00",12911,1669,537,544,307,281,279,2
