Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,1,4568,"41,7",24,11,1,0,"100,00",4321,247,197,45,5,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,3,7765,"41,7",24,11,1,1,"99,99",6795,969,302,311,46,310,302,8
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,5,1367,"41,7",24,11,1,0,"100,00",1156,211,43,44,41,83,82,1
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Filipstad,0,"41,7",24,11,1,0,"100,00",0,0,0,0,0,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Sentrum,13700,"41,7",24,11,1,1,"99,99",12272,1427,542,400,92,393,384,9
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt,13700,"41,7",24,11,1,1,"99,99",12272,1427,542,400,92,393,384,9
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,1,5237,"100,0",24,24,0,0,"100,00",5094,143,97,43,0,3,3,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,3,13020,"100,0",24,24,0,1,"99,99",11931,1088,305,468,52,263,247,16
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,5,1103,"100,0",24,24,0,0,"100,00",990,113,28,21,23,41,41,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Filipstad,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Sentrum,19360,"100,0",24,24,0,1,"99,99",18015,1344,430,532,75,307,291,16
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt,19360,"100,0",24,24,0,1,"99,99",18015,1344,430,532,75,307,291,16
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,1,5133,"100,0",24,24,0,0,"100,00",4987,146,91,54,1,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,3,12438,"100,0",24,24,0,1,"99,99",11573,864,245,317,54,248,238,10
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,5,1083,"100,0",24,24,0,1,"99,91",947,135,17,22,43,53,53,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt i retning Filipstad,1,"100,0",24,24,0,0,"100,00",0,1,0,1,0,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt i retning Sentrum,18653,"100,0",24,24,0,2,"99,99",17507,1144,353,392,98,301,291,10
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt,18654,"100,0",24,24,0,2,"99,99",17507,1145,353,393,98,301,291,10
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,1,9060,"99,9",24,24,0,0,"100,00",8578,482,409,65,2,6,6,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,3,15952,"99,9",24,24,0,2,"99,99",12925,3025,793,945,201,1086,1062,24
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,5,2672,"99,9",24,24,0,2,"99,93",2029,641,106,178,103,254,251,3
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt i retning Filipstad,1,"99,9",24,24,0,0,"100,00",1,0,0,0,0,0,0,0
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt i retning Sentrum,27683,"99,9",24,24,0,4,"99,99",23531,4148,1308,1188,306,1346,1319,27
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt,27684,"99,9",24,24,0,4,"99,99",23532,4148,1308,1188,306,1346,1319,27
73388V3243445,FILIPSTAD ØSTGÅENDE,EV18 S55D1 m4968,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,1,9676,"100,0",24,24,0,1,"99,99",9109,566,417,98,7,44,42,2
