Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,1,5976,"54,2",24,14,1,0,"100,00",5748,228,177,39,6,6,6,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,3,11138,"54,2",24,14,1,1,"99,99",9598,1539,472,489,84,494,476,18
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,5,1726,"54,2",24,14,1,2,"99,88",1352,372,75,86,43,168,163,5
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Filipstad,18840,"54,2",24,14,1,3,"99,98",16698,2139,724,614,133,668,645,23
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Sentrum,0,"54,2",24,14,1,0,"100,00",0,0,0,0,0,0,0,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt,18840,"54,2",24,14,1,3,"99,98",16698,2139,724,614,133,668,645,23
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,1,4695,"100,0",24,24,0,0,"100,00",4581,114,72,39,2,1,1,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,3,12800,"100,0",24,24,0,0,"100,00",11840,960,347,416,30,167,156,11
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,5,1587,"100,0",24,24,0,2,"99,87",1403,182,45,38,29,70,70,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Filipstad,19081,"100,0",24,24,0,2,"99,99",17823,1256,464,493,61,238,227,11
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Sentrum,1,"100,0",24,24,0,0,"100,00",1,0,0,0,0,0,0,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt,19082,"100,0",24,24,0,2,"99,99",17824,1256,464,493,61,238,227,11
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,1,3980,"100,0",24,24,0,0,"100,00",3890,90,51,33,5,1,1,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,3,11439,"100,0",24,24,0,2,"99,98",10526,911,250,291,44,326,315,11
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,5,1488,"100,0",24,24,0,1,"99,93",1271,216,43,20,30,123,122,1
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt i retning Filipstad,16907,"100,0",24,24,0,3,"99,98",15687,1217,344,344,79,450,438,12
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt i retning Sentrum,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt,16907,"100,0",24,24,0,3,"99,98",15687,1217,344,344,79,450,438,12
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,1,9261,"100,0",24,24,0,1,"99,99",8731,529,397,86,7,39,38,1
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,3,16367,"100,0",24,24,0,2,"99,99",13219,3146,875,933,195,1143,1111,32
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,5,3192,"100,0",24,24,0,1,"99,97",2303,888,182,205,101,400,394,6
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt i retning Filipstad,28309,"100,0",24,24,0,4,"99,99",23814,4491,1437,1204,301,1549,1511,38
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt i retning Sentrum,511,"100,0",24,24,0,0,"100,00",439,72,17,20,2,33,32,1
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-16T00:00+01:00,2020-11-17T00:00+01:00,2020-11-16,Totalt,28820,"100,0",24,24,0,4,"99,99",24253,4563,1454,1224,303,1582,1543,39
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,1,9162,"100,0",24,24,0,5,"99,95",8505,652,409,106,29,108,107,1
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,3,16308,"100,0",24,24,0,3,"99,98",13317,2988,826,896,185,1081,1055,26
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,5,3148,"100,0",24,24,0,1,"99,97",2269,878,169,198,83,428,419,9
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,Totalt i retning Filipstad,28117,"100,0",24,24,0,8,"99,97",23826,4283,1371,1146,270,1496,1464,32
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,Totalt i retning Sentrum,501,"100,0",24,24,0,1,"99,80",265,235,33,54,27,121,117,4
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-17T00:00+01:00,2020-11-18T00:00+01:00,2020-11-17,Totalt,28618,"100,0",24,24,0,9,"99,97",24091,4518,1404,1200,297,1617,1581,36
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-18T00:00+01:00,2020-11-19T00:00+01:00,2020-11-18,1,9176,"100,0",24,24,0,0,"100,00",8688,488,398,76,9,5,5,0
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-18T00:00+01:00,2020-11-19T00:00+01:00,2020-11-18,3,16785,"100,0",24,24,0,1,"99,99",13718,3066,901,985,184,996,968,28
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-18T00:00+01:00,2020-11-19T00:00+01:00,2020-11-18,5,3465,"100,0",24,24,0,3,"99,91",2585,877,177,160,104,436,430,6
12723V3243442,FILIPSTAD VESTGÅENDE,EV18 S55D1 m11310,2020-11-18T00:00+01:00,2020-11-19T00:00+01:00,2020-11-18,Totalt i retning Filipstad,29423,"100,0",24,24,0,3,"99,99",24990,4430,1476,1220,297,1437,1403,34
