Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,2884,"100,0",24,24,0,1,"99,97",2838,45,15,13,17,0,0,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,2,2908,"100,0",24,24,0,0,"100,00",2879,29,15,10,3,1,1,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning BEKKESTUA,2884,"100,0",24,24,0,1,"99,97",2838,45,15,13,17,0,0,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning OSLO,2908,"100,0",24,24,0,0,"100,00",2879,29,15,10,3,1,1,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,5792,"100,0",24,24,0,1,"99,98",5717,74,30,23,20,1,1,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,4686,"100,0",24,24,0,47,"99,00",4465,174,60,84,21,9,8,1
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,2,5187,"100,0",24,24,0,0,"100,00",5005,182,88,86,5,3,3,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning BEKKESTUA,4686,"100,0",24,24,0,47,"99,00",4465,174,60,84,21,9,8,1
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning OSLO,5187,"100,0",24,24,0,0,"100,00",5005,182,88,86,5,3,3,0
00492V443603,OSLO GRENSE,FV160 S1D1 m5,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,9873,"100,0",24,24,0,47,"99,52",9470,356,148,170,26,12,11,1
