Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,427,"100,0",24,24,0,0,"100,00",421,6,1,2,3,0,0,0
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,2,3095,"100,0",24,24,0,0,"100,00",2932,163,33,46,60,24,22,2
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,3,3758,"100,0",24,24,0,0,"100,00",3522,236,40,64,106,26,26,0
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,4,724,"100,0",24,24,0,1,"99,86",638,85,9,26,43,7,7,0
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Bygrense,3819,"100,0",24,24,0,1,"99,97",3570,248,42,72,103,31,29,2
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Bygrense,4185,"100,0",24,24,0,0,"100,00",3943,242,41,66,109,26,26,0
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,8004,"100,0",24,24,0,1,"99,99",7513,490,83,138,212,57,55,2
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,1099,"100,0",24,24,0,0,"100,00",1037,62,11,27,18,6,6,0
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,2,5869,"100,0",24,24,0,0,"100,00",5018,851,152,261,155,283,282,1
02087V625292,EV 18 V/ MASTEMYR,EV18 S56D1 m8647,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,3,5988,"100,0",24,24,0,0,"100,00",5081,907,159,250,273,225,222,3
