Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,3105,"100,0",24,24,0,0,"100,00",3025,80,15,22,31,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,2,3467,"100,0",24,24,0,0,"100,00",3373,94,11,24,47,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning OSLO,3466,"100,0",24,24,0,0,"100,00",3372,94,11,24,47,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning ŘVERLAND,3106,"100,0",24,24,0,0,"100,00",3026,80,15,22,31,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,6572,"100,0",24,24,0,0,"100,00",6398,174,26,46,78,24,24,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,5026,"100,0",24,24,0,0,"100,00",4776,250,105,90,33,22,22,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,2,5243,"100,0",24,24,0,0,"100,00",4957,286,109,108,53,16,16,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning OSLO,5239,"100,0",24,24,0,0,"100,00",4953,286,109,108,53,16,16,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning ŘVERLAND,5030,"100,0",24,24,0,0,"100,00",4780,250,105,90,33,22,22,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,10269,"100,0",24,24,0,0,"100,00",9733,536,214,198,86,38,38,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,1,5208,"99,9",24,24,0,0,"100,00",4881,327,140,120,37,30,30,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,2,5319,"99,9",24,24,0,0,"100,00",4959,360,141,136,52,31,31,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning OSLO,5317,"99,9",24,24,0,0,"100,00",4957,360,141,136,52,31,31,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning ŘVERLAND,5210,"99,9",24,24,0,0,"100,00",4883,327,140,120,37,30,30,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt,10527,"99,9",24,24,0,0,"100,00",9840,687,281,256,89,61,61,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,1,5179,"100,0",24,24,0,1,"99,98",4912,266,100,116,27,23,22,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,2,5248,"100,0",24,24,0,0,"100,00",4935,313,124,125,40,24,24,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt i retning OSLO,5246,"100,0",24,24,0,0,"100,00",4934,312,123,125,40,24,24,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt i retning ŘVERLAND,5181,"100,0",24,24,0,1,"99,98",4913,267,101,116,27,23,22,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt,10427,"100,0",24,24,0,1,"99,99",9847,579,224,241,67,47,46,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,1,4519,"100,0",24,24,0,1,"99,98",4408,110,47,40,17,6,6,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,2,4803,"100,0",24,24,0,0,"100,00",4668,135,50,43,36,6,6,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,Totalt i retning OSLO,4805,"100,0",24,24,0,0,"100,00",4670,135,50,43,36,6,6,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,Totalt i retning ŘVERLAND,4517,"100,0",24,24,0,1,"99,98",4406,110,47,40,17,6,6,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-05T00:00+01:00,2019-01-06T00:00+01:00,2019-01-05,Totalt,9322,"100,0",24,24,0,1,"99,99",9076,245,97,83,53,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-06T00:00+01:00,2019-01-07T00:00+01:00,2019-01-06,1,4345,"100,0",24,24,0,0,"100,00",4264,81,13,30,26,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-06T00:00+01:00,2019-01-07T00:00+01:00,2019-01-06,2,4470,"100,0",24,24,0,0,"100,00",4373,97,18,32,42,5,5,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-06T00:00+01:00,2019-01-07T00:00+01:00,2019-01-06,Totalt i retning OSLO,4472,"100,0",24,24,0,0,"100,00",4375,97,18,32,42,5,5,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-06T00:00+01:00,2019-01-07T00:00+01:00,2019-01-06,Totalt i retning ŘVERLAND,4343,"100,0",24,24,0,0,"100,00",4262,81,13,30,26,12,12,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-06T00:00+01:00,2019-01-07T00:00+01:00,2019-01-06,Totalt,8815,"100,0",24,24,0,0,"100,00",8637,178,31,62,68,17,17,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-07T00:00+01:00,2019-01-08T00:00+01:00,2019-01-07,1,5447,"100,0",24,24,0,1,"99,98",5091,355,147,132,42,34,34,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-07T00:00+01:00,2019-01-08T00:00+01:00,2019-01-07,2,5669,"100,0",24,24,0,68,"98,80",5196,405,149,154,72,30,29,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-07T00:00+01:00,2019-01-08T00:00+01:00,2019-01-07,Totalt i retning OSLO,5668,"100,0",24,24,0,67,"98,82",5196,405,149,154,72,30,29,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-07T00:00+01:00,2019-01-08T00:00+01:00,2019-01-07,Totalt i retning ŘVERLAND,5448,"100,0",24,24,0,2,"99,96",5091,355,147,132,42,34,34,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-07T00:00+01:00,2019-01-08T00:00+01:00,2019-01-07,Totalt,11116,"100,0",24,24,0,69,"99,38",10287,760,296,286,114,64,63,1
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-08T00:00+01:00,2019-01-09T00:00+01:00,2019-01-08,1,5742,"100,0",24,24,0,1,"99,98",5409,332,125,139,37,31,31,0
00222V444290,LYSAKERELVA,FV168 S1D1 m12,2019-01-08T00:00+01:00,2019-01-09T00:00+01:00,2019-01-08,2,5762,"100,0",24,24,0,287,"95,02",5104,371,139,136,61,35,35,0
