Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-04T00:00+02:00,2019-04-05T00:00+02:00,2019-04-04,1,5429,"54,2",24,14,1,3,"99,94",5181,245,146,75,21,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-04T00:00+02:00,2019-04-05T00:00+02:00,2019-04-04,2,3994,"54,2",24,14,1,1,"99,97",3769,224,141,50,30,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-04T00:00+02:00,2019-04-05T00:00+02:00,2019-04-04,Totalt i retning Bryn Senter,3994,"54,2",24,14,1,1,"99,97",3769,224,141,50,30,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-04T00:00+02:00,2019-04-05T00:00+02:00,2019-04-04,Totalt i retning Oppsal,5429,"54,2",24,14,1,3,"99,94",5181,245,146,75,21,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-04T00:00+02:00,2019-04-05T00:00+02:00,2019-04-04,Totalt,9423,"54,2",24,14,1,4,"99,96",8950,469,287,125,51,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-05T00:00+02:00,2019-04-06T00:00+02:00,2019-04-05,1,5950,"100,0",24,24,0,4,"99,93",5609,337,205,100,32,0,0,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-05T00:00+02:00,2019-04-06T00:00+02:00,2019-04-05,2,5860,"100,0",24,24,0,3,"99,95",5460,397,242,114,36,5,5,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-05T00:00+02:00,2019-04-06T00:00+02:00,2019-04-05,Totalt i retning Bryn Senter,5864,"100,0",24,24,0,4,"99,93",5463,397,242,114,36,5,5,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-05T00:00+02:00,2019-04-06T00:00+02:00,2019-04-05,Totalt i retning Oppsal,5946,"100,0",24,24,0,3,"99,95",5606,337,205,100,32,0,0,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-05T00:00+02:00,2019-04-06T00:00+02:00,2019-04-05,Totalt,11810,"100,0",24,24,0,7,"99,94",11069,734,447,214,68,5,5,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-06T00:00+02:00,2019-04-07T00:00+02:00,2019-04-06,1,5574,"100,0",24,24,0,4,"99,93",5400,170,94,46,24,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-06T00:00+02:00,2019-04-07T00:00+02:00,2019-04-06,2,5261,"100,0",24,24,0,1,"99,98",5088,172,98,43,23,8,8,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-06T00:00+02:00,2019-04-07T00:00+02:00,2019-04-06,Totalt i retning Bryn Senter,5261,"100,0",24,24,0,1,"99,98",5088,172,98,43,23,8,8,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-06T00:00+02:00,2019-04-07T00:00+02:00,2019-04-06,Totalt i retning Oppsal,5574,"100,0",24,24,0,4,"99,93",5400,170,94,46,24,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-06T00:00+02:00,2019-04-07T00:00+02:00,2019-04-06,Totalt,10835,"100,0",24,24,0,5,"99,95",10488,342,192,89,47,14,14,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-07T00:00+02:00,2019-04-08T00:00+02:00,2019-04-07,1,4594,"100,0",24,24,0,0,"100,00",4498,96,63,24,0,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-07T00:00+02:00,2019-04-08T00:00+02:00,2019-04-07,2,4292,"100,0",24,24,0,0,"100,00",4200,92,70,13,1,8,8,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-07T00:00+02:00,2019-04-08T00:00+02:00,2019-04-07,Totalt i retning Bryn Senter,4295,"100,0",24,24,0,0,"100,00",4203,92,70,13,1,8,8,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-07T00:00+02:00,2019-04-08T00:00+02:00,2019-04-07,Totalt i retning Oppsal,4591,"100,0",24,24,0,0,"100,00",4495,96,63,24,0,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-07T00:00+02:00,2019-04-08T00:00+02:00,2019-04-07,Totalt,8886,"100,0",24,24,0,0,"100,00",8698,188,133,37,1,17,17,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-08T00:00+02:00,2019-04-09T00:00+02:00,2019-04-08,1,6395,"100,0",24,24,0,2,"99,97",6087,306,181,92,29,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-08T00:00+02:00,2019-04-09T00:00+02:00,2019-04-08,2,6154,"100,0",24,24,0,1,"99,98",5783,370,229,98,36,7,7,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-08T00:00+02:00,2019-04-09T00:00+02:00,2019-04-08,Totalt i retning Bryn Senter,6154,"100,0",24,24,0,1,"99,98",5783,370,229,98,36,7,7,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-08T00:00+02:00,2019-04-09T00:00+02:00,2019-04-08,Totalt i retning Oppsal,6395,"100,0",24,24,0,2,"99,97",6087,306,181,92,29,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-08T00:00+02:00,2019-04-09T00:00+02:00,2019-04-08,Totalt,12549,"100,0",24,24,0,3,"99,98",11870,676,410,190,65,11,11,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-09T00:00+02:00,2019-04-10T00:00+02:00,2019-04-09,1,6385,"100,0",24,24,0,0,"100,00",6036,349,212,114,19,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-09T00:00+02:00,2019-04-10T00:00+02:00,2019-04-09,2,6521,"100,0",24,24,0,1,"99,98",6128,392,229,119,37,7,7,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-09T00:00+02:00,2019-04-10T00:00+02:00,2019-04-09,Totalt i retning Bryn Senter,6525,"100,0",24,24,0,1,"99,98",6132,392,229,119,37,7,7,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-09T00:00+02:00,2019-04-10T00:00+02:00,2019-04-09,Totalt i retning Oppsal,6381,"100,0",24,24,0,0,"100,00",6032,349,212,114,19,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-09T00:00+02:00,2019-04-10T00:00+02:00,2019-04-09,Totalt,12906,"100,0",24,24,0,1,"99,99",12164,741,441,233,56,11,11,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-10T00:00+02:00,2019-04-11T00:00+02:00,2019-04-10,1,6353,"100,0",24,24,0,2,"99,97",6010,341,187,116,37,1,1,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-10T00:00+02:00,2019-04-11T00:00+02:00,2019-04-10,2,6155,"100,0",24,24,0,1,"99,98",5786,368,199,120,46,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-10T00:00+02:00,2019-04-11T00:00+02:00,2019-04-10,Totalt i retning Bryn Senter,6156,"100,0",24,24,0,1,"99,98",5787,368,199,120,46,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-10T00:00+02:00,2019-04-11T00:00+02:00,2019-04-10,Totalt i retning Oppsal,6352,"100,0",24,24,0,2,"99,97",6009,341,187,116,37,1,1,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-10T00:00+02:00,2019-04-11T00:00+02:00,2019-04-10,Totalt,12508,"100,0",24,24,0,3,"99,98",11796,709,386,236,83,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-11T00:00+02:00,2019-04-12T00:00+02:00,2019-04-11,1,6429,"100,0",24,24,0,1,"99,98",6122,306,190,86,28,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-11T00:00+02:00,2019-04-12T00:00+02:00,2019-04-11,2,6202,"100,0",24,24,0,1,"99,98",5828,373,238,94,38,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-11T00:00+02:00,2019-04-12T00:00+02:00,2019-04-11,Totalt i retning Bryn Senter,6203,"100,0",24,24,0,1,"99,98",5828,374,239,94,38,3,3,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-11T00:00+02:00,2019-04-12T00:00+02:00,2019-04-11,Totalt i retning Oppsal,6428,"100,0",24,24,0,1,"99,98",6122,305,189,86,28,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-11T00:00+02:00,2019-04-12T00:00+02:00,2019-04-11,Totalt,12631,"100,0",24,24,0,2,"99,98",11950,679,428,180,66,5,5,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-12T00:00+02:00,2019-04-13T00:00+02:00,2019-04-12,1,6131,"99,9",24,24,0,0,"100,00",5813,318,194,96,26,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-12T00:00+02:00,2019-04-13T00:00+02:00,2019-04-12,2,6076,"99,9",24,24,0,0,"100,00",5690,386,241,106,35,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-12T00:00+02:00,2019-04-13T00:00+02:00,2019-04-12,Totalt i retning Bryn Senter,6076,"99,9",24,24,0,0,"100,00",5690,386,241,106,35,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-12T00:00+02:00,2019-04-13T00:00+02:00,2019-04-12,Totalt i retning Oppsal,6131,"99,9",24,24,0,0,"100,00",5813,318,194,96,26,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-12T00:00+02:00,2019-04-13T00:00+02:00,2019-04-12,Totalt,12207,"99,9",24,24,0,0,"100,00",11503,704,435,202,61,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-13T00:00+02:00,2019-04-14T00:00+02:00,2019-04-13,1,4917,"100,0",24,24,0,1,"99,98",4722,194,96,76,15,7,6,1
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-13T00:00+02:00,2019-04-14T00:00+02:00,2019-04-13,2,4794,"100,0",24,24,0,0,"100,00",4583,211,115,64,23,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-13T00:00+02:00,2019-04-14T00:00+02:00,2019-04-13,Totalt i retning Bryn Senter,4796,"100,0",24,24,0,0,"100,00",4585,211,115,64,23,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-13T00:00+02:00,2019-04-14T00:00+02:00,2019-04-13,Totalt i retning Oppsal,4915,"100,0",24,24,0,1,"99,98",4720,194,96,76,15,7,6,1
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-13T00:00+02:00,2019-04-14T00:00+02:00,2019-04-13,Totalt,9711,"100,0",24,24,0,1,"99,99",9305,405,211,140,38,16,15,1
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-14T00:00+02:00,2019-04-15T00:00+02:00,2019-04-14,1,3584,"100,0",24,24,0,0,"100,00",3499,85,58,20,1,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-14T00:00+02:00,2019-04-15T00:00+02:00,2019-04-14,2,3510,"100,0",24,24,0,0,"100,00",3414,96,70,16,1,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-14T00:00+02:00,2019-04-15T00:00+02:00,2019-04-14,Totalt i retning Bryn Senter,3511,"100,0",24,24,0,0,"100,00",3415,96,70,16,1,9,9,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-14T00:00+02:00,2019-04-15T00:00+02:00,2019-04-14,Totalt i retning Oppsal,3583,"100,0",24,24,0,0,"100,00",3498,85,58,20,1,6,6,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-14T00:00+02:00,2019-04-15T00:00+02:00,2019-04-14,Totalt,7094,"100,0",24,24,0,0,"100,00",6913,181,128,36,2,15,15,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-15T00:00+02:00,2019-04-16T00:00+02:00,2019-04-15,1,5323,"100,0",24,24,0,1,"99,98",5036,286,165,96,24,1,1,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-15T00:00+02:00,2019-04-16T00:00+02:00,2019-04-15,2,5176,"100,0",24,24,0,0,"100,00",4864,312,190,84,34,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-15T00:00+02:00,2019-04-16T00:00+02:00,2019-04-15,Totalt i retning Bryn Senter,5178,"100,0",24,24,0,0,"100,00",4865,313,190,85,34,4,4,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-15T00:00+02:00,2019-04-16T00:00+02:00,2019-04-15,Totalt i retning Oppsal,5321,"100,0",24,24,0,1,"99,98",5035,285,165,95,24,1,1,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-15T00:00+02:00,2019-04-16T00:00+02:00,2019-04-15,Totalt,10499,"100,0",24,24,0,1,"99,99",9900,598,355,180,58,5,5,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-16T00:00+02:00,2019-04-17T00:00+02:00,2019-04-16,1,5280,"100,0",24,24,0,1,"99,98",5012,267,146,102,17,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-16T00:00+02:00,2019-04-17T00:00+02:00,2019-04-16,2,5252,"100,0",24,24,0,0,"100,00",4979,273,161,80,30,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-16T00:00+02:00,2019-04-17T00:00+02:00,2019-04-16,Totalt i retning Bryn Senter,5255,"100,0",24,24,0,0,"100,00",4982,273,161,80,30,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-16T00:00+02:00,2019-04-17T00:00+02:00,2019-04-16,Totalt i retning Oppsal,5277,"100,0",24,24,0,1,"99,98",5009,267,146,102,17,2,2,0
84851V605851,Østensjøveien v/Østensjø Skole,KV18639 S4D1 m849,2019-04-16T00:00+02:00,2019-04-17T00:00+02:00,2019-04-16,Totalt,10532,"100,0",24,24,0,1,"99,99",9991,540,307,182,47,4,4,0
