Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-29T00:00+02:00,2019-04-30T00:00+02:00,2019-04-29,1,3843,"41,7",24,11,1,1,"99,97",3610,232,139,70,14,9,9,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-29T00:00+02:00,2019-04-30T00:00+02:00,2019-04-29,3,3484,"41,7",24,11,1,2,"99,94",2919,563,201,217,80,65,64,1
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-29T00:00+02:00,2019-04-30T00:00+02:00,2019-04-29,Totalt i retning Grorud,7324,"41,7",24,11,1,2,"99,97",6528,794,340,286,94,74,73,1
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-29T00:00+02:00,2019-04-30T00:00+02:00,2019-04-29,Totalt i retning Økern,3,"41,7",24,11,1,1,"66,67",1,1,0,1,0,0,0,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-29T00:00+02:00,2019-04-30T00:00+02:00,2019-04-29,Totalt,7327,"41,7",24,11,1,3,"99,96",6529,795,340,287,94,74,73,1
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-30T00:00+02:00,2019-05-01T00:00+02:00,2019-04-30,1,6555,"100,0",24,24,0,1,"99,98",6118,436,259,144,15,18,18,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-30T00:00+02:00,2019-05-01T00:00+02:00,2019-04-30,3,6726,"100,0",24,24,0,4,"99,94",5517,1205,381,504,172,148,148,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-30T00:00+02:00,2019-05-01T00:00+02:00,2019-04-30,Totalt i retning Grorud,13280,"100,0",24,24,0,5,"99,96",11635,1640,639,648,187,166,166,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-30T00:00+02:00,2019-05-01T00:00+02:00,2019-04-30,Totalt i retning Økern,1,"100,0",24,24,0,0,"100,00",0,1,1,0,0,0,0,0
20680V625530,Rv 163 Brobekk Nordgående,RV163 S1D1 m2551,2019-04-30T00:00+02:00,2019-05-01T00:00+02:00,2019-04-30,Totalt,13281,"100,0",24,24,0,5,"99,96",11635,1641,640,648,187,166,166,0
