Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,947,"100,0",24,24,0,0,"100,00",837,110,4,93,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning ABILDSØ,947,"100,0",24,24,0,0,"100,00",837,110,4,93,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,947,"100,0",24,24,0,0,"100,00",837,110,4,93,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,1666,"100,0",24,24,0,2,"99,88",1485,179,17,149,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning ABILDSØ,1664,"100,0",24,24,0,1,"99,94",1485,178,16,149,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning MORTENSRUD,2,"100,0",24,24,0,1,"50,00",0,1,1,0,0,0,0,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,1666,"100,0",24,24,0,2,"99,88",1485,179,17,149,4,9,9,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,1,1831,"100,0",24,24,0,0,"100,00",1631,200,21,163,5,11,11,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning ABILDSØ,1831,"100,0",24,24,0,0,"100,00",1631,200,21,163,5,11,11,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning MORTENSRUD,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt,1831,"100,0",24,24,0,0,"100,00",1631,200,21,163,5,11,11,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,1,1906,"100,0",24,24,0,0,"100,00",1718,188,18,144,16,10,10,0
36449V625237,Skullerud pårampe Sydgående,EV6 S15D1 m5382 KD4 m123,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,Totalt i retning ABILDSØ,1905,"100,0",24,24,0,0,"100,00",1718,187,18,143,16,10,10,0
