Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,2586,"100,0",24,24,0,1092,"57,77",1360,134,21,43,30,40,40,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Rislřkka,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Sinsen,2586,"100,0",24,24,0,1092,"57,77",1360,134,21,43,30,40,40,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,2586,"100,0",24,24,0,1092,"57,77",1360,134,21,43,30,40,40,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,6833,"100,0",24,24,0,2624,"61,60",3652,557,216,234,31,76,75,1
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning Rislřkka,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning Sinsen,6833,"100,0",24,24,0,2624,"61,60",3652,557,216,234,31,76,75,1
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,6833,"100,0",24,24,0,2624,"61,60",3652,557,216,234,31,76,75,1
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,1,7459,"100,0",24,24,0,2260,"69,70",4592,607,234,247,48,78,78,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning Rislřkka,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning Sinsen,7459,"100,0",24,24,0,2260,"69,70",4592,607,234,247,48,78,78,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt,7459,"100,0",24,24,0,2260,"69,70",4592,607,234,247,48,78,78,0
78505V2312159,Lørentunell rampe fra Rv163,RV163 S1D1 m1332 KD4 m555,2019-01-04T00:00+01:00,2019-01-05T00:00+01:00,2019-01-04,1,7305,"100,0",24,24,0,2215,"69,68",4457,633,254,267,36,76,75,1
