Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,11043,"100,0",24,24,0,0,"100,00",10486,557,172,150,40,195,190,5
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Alnabru,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Ulven,11043,"100,0",24,24,0,0,"100,00",10486,557,172,150,40,195,190,5
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,11043,"100,0",24,24,0,0,"100,00",10486,557,172,150,40,195,190,5
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,15752,"98,3",24,24,0,2,"99,99",12623,3127,817,1049,118,1143,1091,52
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning Alnabru,0,"98,3",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt i retning Ulven,15752,"98,3",24,24,0,2,"99,99",12623,3127,817,1049,118,1143,1091,52
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,Totalt,15752,"98,3",24,24,0,2,"99,99",12623,3127,817,1049,118,1143,1091,52
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,1,16074,"99,3",24,24,0,7,"99,96",12346,3721,967,1170,142,1442,1361,81
66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6 S16D1 m8422,2019-01-03T00:00+01:00,2019-01-04T00:00+01:00,2019-01-03,Totalt i retning Alnabru,0,"99,3",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
