Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,1,5113,"54,2",24,14,1,0,"100,00",4462,651,121,84,330,116,116,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Filipstad,5113,"54,2",24,14,1,0,"100,00",4462,651,121,84,330,116,116,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt i retning Sentrum,0,"54,2",24,14,1,0,"100,00",0,0,0,0,0,0,0,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-13T00:00+01:00,2020-11-14T00:00+01:00,2020-11-13,Totalt,5113,"54,2",24,14,1,0,"100,00",4462,651,121,84,330,116,116,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,1,4067,"100,0",24,24,0,0,"100,00",3551,516,49,34,285,148,148,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Filipstad,4067,"100,0",24,24,0,0,"100,00",3551,516,49,34,285,148,148,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt i retning Sentrum,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-14T00:00+01:00,2020-11-15T00:00+01:00,2020-11-14,Totalt,4067,"100,0",24,24,0,0,"100,00",3551,516,49,34,285,148,148,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,1,2965,"100,0",24,24,0,2,"99,93",2533,430,21,18,241,150,150,0
42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18 S55D1 m4888 KD4 m159,2020-11-15T00:00+01:00,2020-11-16T00:00+01:00,2020-11-15,Totalt i retning Filipstad,2965,"100,0",24,24,0,2,"99,93",2533,430,21,18,241,150,150,0
