Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-07T00:00+01:00,2021-12-08T00:00+01:00,2021-12-07,1,4333,"41,7",24,13,3,90,"97,92",3949,294,117,91,62,24,21,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-07T00:00+01:00,2021-12-08T00:00+01:00,2021-12-07,2,4526,"41,7",24,13,3,32,"99,29",4230,264,106,91,47,20,20,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-07T00:00+01:00,2021-12-08T00:00+01:00,2021-12-07,Totalt i retning Skullerud,4334,"41,7",24,13,3,90,"97,92",3950,294,117,91,62,24,21,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-07T00:00+01:00,2021-12-08T00:00+01:00,2021-12-07,Totalt i retning Sćter,4525,"41,7",24,13,3,32,"99,29",4229,264,106,91,47,20,20,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-07T00:00+01:00,2021-12-08T00:00+01:00,2021-12-07,Totalt,8859,"41,7",24,13,3,122,"98,62",8179,558,223,182,109,44,41,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-08T00:00+01:00,2021-12-09T00:00+01:00,2021-12-08,1,5550,"100,0",24,24,0,26,"99,53",5113,411,193,103,94,21,21,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-08T00:00+01:00,2021-12-09T00:00+01:00,2021-12-08,2,5478,"100,0",24,24,0,52,"99,05",5060,366,157,118,60,31,29,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-08T00:00+01:00,2021-12-09T00:00+01:00,2021-12-08,Totalt i retning Skullerud,5550,"100,0",24,24,0,27,"99,51",5112,411,193,103,94,21,21,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-08T00:00+01:00,2021-12-09T00:00+01:00,2021-12-08,Totalt i retning Sćter,5478,"100,0",24,24,0,51,"99,07",5061,366,157,118,60,31,29,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-08T00:00+01:00,2021-12-09T00:00+01:00,2021-12-08,Totalt,11028,"100,0",24,24,0,78,"99,29",10173,777,350,221,154,52,50,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-09T00:00+01:00,2021-12-10T00:00+01:00,2021-12-09,1,5676,"100,0",24,24,0,80,"98,59",5203,393,166,107,106,14,13,1
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-09T00:00+01:00,2021-12-10T00:00+01:00,2021-12-09,2,5635,"100,0",24,24,0,50,"99,11",5209,376,163,131,59,23,21,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-09T00:00+01:00,2021-12-10T00:00+01:00,2021-12-09,Totalt i retning Skullerud,5676,"100,0",24,24,0,80,"98,59",5203,393,166,107,106,14,13,1
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-09T00:00+01:00,2021-12-10T00:00+01:00,2021-12-09,Totalt i retning Sćter,5635,"100,0",24,24,0,50,"99,11",5209,376,163,131,59,23,21,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-09T00:00+01:00,2021-12-10T00:00+01:00,2021-12-09,Totalt,11311,"100,0",24,24,0,130,"98,85",10412,769,329,238,165,37,34,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-10T00:00+01:00,2021-12-11T00:00+01:00,2021-12-10,1,5471,"100,0",24,24,0,68,"98,76",4990,413,189,110,93,21,18,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-10T00:00+01:00,2021-12-11T00:00+01:00,2021-12-10,2,5454,"100,0",24,24,0,33,"99,39",5074,347,140,117,68,22,22,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-10T00:00+01:00,2021-12-11T00:00+01:00,2021-12-10,Totalt i retning Skullerud,5470,"100,0",24,24,0,67,"98,78",4990,413,189,110,93,21,18,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-10T00:00+01:00,2021-12-11T00:00+01:00,2021-12-10,Totalt i retning Sćter,5455,"100,0",24,24,0,34,"99,38",5074,347,140,117,68,22,22,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-10T00:00+01:00,2021-12-11T00:00+01:00,2021-12-10,Totalt,10925,"100,0",24,24,0,101,"99,08",10064,760,329,227,161,43,40,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-11T00:00+01:00,2021-12-12T00:00+01:00,2021-12-11,1,4381,"100,0",24,24,0,32,"99,27",4155,194,67,44,56,27,27,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-11T00:00+01:00,2021-12-12T00:00+01:00,2021-12-11,2,4535,"100,0",24,24,0,41,"99,10",4304,190,55,74,38,23,23,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-11T00:00+01:00,2021-12-12T00:00+01:00,2021-12-11,Totalt i retning Skullerud,4380,"100,0",24,24,0,32,"99,27",4154,194,67,44,56,27,27,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-11T00:00+01:00,2021-12-12T00:00+01:00,2021-12-11,Totalt i retning Sćter,4536,"100,0",24,24,0,41,"99,10",4305,190,55,74,38,23,23,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-11T00:00+01:00,2021-12-12T00:00+01:00,2021-12-11,Totalt,8916,"100,0",24,24,0,73,"99,18",8459,384,122,118,94,50,50,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-12T00:00+01:00,2021-12-13T00:00+01:00,2021-12-12,1,3724,"100,0",24,24,0,12,"99,68",3561,151,54,32,63,2,2,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-12T00:00+01:00,2021-12-13T00:00+01:00,2021-12-12,2,3608,"100,0",24,24,0,12,"99,67",3468,128,40,38,43,7,5,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-12T00:00+01:00,2021-12-13T00:00+01:00,2021-12-12,Totalt i retning Skullerud,3724,"100,0",24,24,0,12,"99,68",3561,151,54,32,63,2,2,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-12T00:00+01:00,2021-12-13T00:00+01:00,2021-12-12,Totalt i retning Sćter,3608,"100,0",24,24,0,12,"99,67",3468,128,40,38,43,7,5,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-12T00:00+01:00,2021-12-13T00:00+01:00,2021-12-12,Totalt,7332,"100,0",24,24,0,24,"99,67",7029,279,94,70,106,9,7,2
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-13T00:00+01:00,2021-12-14T00:00+01:00,2021-12-13,1,5686,"100,0",24,24,0,40,"99,30",5251,395,177,106,93,19,19,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-13T00:00+01:00,2021-12-14T00:00+01:00,2021-12-13,2,5357,"100,0",24,24,0,42,"99,22",4940,375,163,115,70,27,24,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-13T00:00+01:00,2021-12-14T00:00+01:00,2021-12-13,Totalt i retning Skullerud,5686,"100,0",24,24,0,40,"99,30",5251,395,177,106,93,19,19,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-13T00:00+01:00,2021-12-14T00:00+01:00,2021-12-13,Totalt i retning Sćter,5357,"100,0",24,24,0,42,"99,22",4940,375,163,115,70,27,24,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-13T00:00+01:00,2021-12-14T00:00+01:00,2021-12-13,Totalt,11043,"100,0",24,24,0,82,"99,26",10191,770,340,221,163,46,43,3
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-14T00:00+01:00,2021-12-15T00:00+01:00,2021-12-14,1,5522,"100,0",24,24,0,31,"99,44",5078,413,185,120,83,25,25,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-14T00:00+01:00,2021-12-15T00:00+01:00,2021-12-14,2,5357,"100,0",24,24,0,48,"99,10",4944,365,145,127,65,28,28,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-14T00:00+01:00,2021-12-15T00:00+01:00,2021-12-14,Totalt i retning Skullerud,5522,"100,0",24,24,0,31,"99,44",5078,413,185,120,83,25,25,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-14T00:00+01:00,2021-12-15T00:00+01:00,2021-12-14,Totalt i retning Sćter,5357,"100,0",24,24,0,48,"99,10",4944,365,145,127,65,28,28,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-14T00:00+01:00,2021-12-15T00:00+01:00,2021-12-14,Totalt,10879,"100,0",24,24,0,79,"99,27",10022,778,330,247,148,53,53,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-15T00:00+01:00,2021-12-16T00:00+01:00,2021-12-15,1,5532,"100,0",24,24,0,28,"99,49",5117,387,174,103,92,18,18,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-15T00:00+01:00,2021-12-16T00:00+01:00,2021-12-15,2,4971,"100,0",24,24,0,29,"99,42",4626,316,120,121,54,21,21,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-15T00:00+01:00,2021-12-16T00:00+01:00,2021-12-15,Totalt i retning Skullerud,5534,"100,0",24,24,0,29,"99,48",5119,386,173,103,92,18,18,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-15T00:00+01:00,2021-12-16T00:00+01:00,2021-12-15,Totalt i retning Sćter,4969,"100,0",24,24,0,28,"99,44",4624,317,121,121,54,21,21,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-15T00:00+01:00,2021-12-16T00:00+01:00,2021-12-15,Totalt,10503,"100,0",24,24,0,57,"99,46",9743,703,294,224,146,39,39,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-16T00:00+01:00,2021-12-17T00:00+01:00,2021-12-16,1,5695,"100,0",24,24,0,28,"99,51",5271,396,156,125,99,16,16,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-16T00:00+01:00,2021-12-17T00:00+01:00,2021-12-16,2,5564,"100,0",24,24,0,34,"99,39",5173,357,145,143,50,19,18,1
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-16T00:00+01:00,2021-12-17T00:00+01:00,2021-12-16,Totalt i retning Skullerud,5696,"100,0",24,24,0,29,"99,49",5271,396,156,125,99,16,16,0
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-16T00:00+01:00,2021-12-17T00:00+01:00,2021-12-16,Totalt i retning Sćter,5563,"100,0",24,24,0,33,"99,41",5173,357,145,143,50,19,18,1
53913V604958,Nordstrandsveien,KV15185 S1D1 m1595,2021-12-16T00:00+01:00,2021-12-17T00:00+01:00,2021-12-16,Totalt,11259,"100,0",24,24,0,62,"99,45",10444,753,301,268,149,35,34,1
