Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,1,3690,"100,0",24,24,0,0,"100,00",3635,55,47,6,0,2,2,0
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,2,6094,"100,0",24,24,0,0,"100,00",5981,113,73,34,1,5,5,0
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,3,14419,"100,0",24,24,0,0,"100,00",13775,644,205,109,62,268,255,13
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,4,15139,"100,0",24,24,0,1,"99,99",14498,640,202,188,47,203,196,7
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,6,1306,"100,0",24,24,0,0,"100,00",1215,91,21,4,0,66,66,0
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Bryn,22539,"100,0",24,24,0,1,"100,00",21694,844,296,226,48,274,267,7
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt i retning Ulven,18109,"100,0",24,24,0,0,"100,00",17410,699,252,115,62,270,257,13
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-01T00:00+01:00,2019-01-02T00:00+01:00,2019-01-01,Totalt,40648,"100,0",24,24,0,1,"100,00",39104,1543,548,341,110,544,524,20
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,1,9148,"100,0",24,24,0,0,"100,00",8724,424,317,63,13,31,27,4
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,2,10377,"100,0",24,24,0,4,"99,96",9877,496,365,78,19,34,33,1
47408V625213,E6 Teisen,EV6 S16D1 m4434,2019-01-02T00:00+01:00,2019-01-03T00:00+01:00,2019-01-02,3,22046,"100,0",24,24,0,2,"99,99",18856,3188,818,971,191,1208,1150,58
