OID_,ID,Navn,Veg,Strekning_Delstrekning,Meter,Lengdegrad,Breddegrad
210,00203V444270,SVÆRSVANN,FV155,S1D1,m31,59.817480000000003,10.890784999999999
211,91442V625369,FAGERHEIMGATA 04,KV4,S2D1,m633,59.929948000000003,10.769275000000000
212,02087V625292,EV 18 V/ MASTEMYR,EV18,S56D1,m8647,59.828037000000002,10.777599000000000
213,99246V443317,LYSAKERLOKKET KOLLEKTIV,EV18,S54D1,m257,59.911743999999999,10.633036000000001
214,02298V625405,ST.RINGV V/ULVENSPLI,RV150,S1D1,m220,59.921653999999997,10.807848000000000
215,87863V625272,Avrampe E6 mot Lindeberg,EV6,S17D1,m1803,59.928564999999999,10.865520000000000
216,72073V625213,ULVENSPLITTEN 2002,EV6,S16D1,m5637,59.923183999999999,10.812925999999999
217,00492V443603,OSLO GRENSE,FV160,S1D1,m5,59.926713999999997,10.625671000000001
218,29403V625517,Vaterlandtunnelen,RV162,S1D1,m2978,59.916004000000001,10.749300000000000
219,70317V605281,SIGGERUDVEIEN,KV16345,S1D1,m703,59.813343000000003,10.882171000000000
220,29852V2460300,Kong Håkon 5.s gt Sydgående,RV162,S1D1,m1063,59.905926999999998,10.761305999999999
